Tickers,Stock Code,Name of Securities,Category,Board Lot,ISIN,RMB Counter
1323.hk,01323,HUASHENG INTL,Equity,"20,000",KYG4643T1123,
1326.hk,01326,TRANSMIT ENT,Equity,"8,000",KYG9008D1079,
1327.hk,01327,LUXXU GROUP,Equity,"20,000",KYG5713B1216,
1328.hk,01328,GOLDSTREAM INV,Equity,"1,000",KYG4090W1217,
1330.hk,01330,DYNAGREEN ENV,Equity,"1,000",CNE100001SH0,
1332.hk,01332,TOUYUN BIOTECH,Equity,"10,000",BMG8962M1038,
1333.hk,01333,BRETON,Equity,200,CNE100006WR0,
1334.hk,01334,RUICHANG INTL,Equity,"2,500",KYG7714G1091,
1335.hk,01335,SHEEN TAI,Equity,"2,000",KYG8079L1133,
1336.hk,01336,NCI,Equity,100,CNE100001922,
1338.hk,01338,BAWANG GROUP,Equity,"2,000",KYG090381032,
1339.hk,01339,PICC GROUP,Equity,"1,000",CNE100001MK7,
1340.hk,01340,HUISHENG INTL,Equity,"4,000",KYG4643W1078,
1341.hk,01341,HAO TIAN INTL,Equity,"8,000",KYG4289V1086,
1343.hk,01343,WEI YUAN HLDG,Equity,"5,000",KYG9525A1076,
1345.hk,01345,SH PIONEER HLDG,Equity,"1,000",KYG2162L1068,
1346.hk,01346,LEVER STYLE,Equity,"4,000",KYG5462W1024,
1347.hk,01347,HUA HONG SEMI,Equity,"1,000",HK0000218211,
1348.hk,01348,QUALI-SMART,Equity,"2,000",KYG198891155,
1349.hk,01349,FUDANZHANGJIANG,Equity,"1,000",CNE1000000W4,
1351.hk,01351,BRIGHT FUTURE,Equity,"2,000",KYG136931097,
1354.hk,01354,KINGFARPROPERTY,Equity,300,CNE100006HY7,
1355.hk,01355,LEGEND STRAT,Equity,"20,000",KYG5458R1175,
1357.hk,01357,MEITU,Equity,500,KYG5966D1051,
1358.hk,01358,PW MEDTECH,Equity,"1,000",KYG7306W1087,
1359.hk,01359,CHINA CINDA,Equity,"1,000",CNE100001QS1,
1361.hk,01361,361 DEGREES,Equity,"1,000",KYG884931042,
1362.hk,01362,SIS MOBILE,Equity,"4,000",KYG8190W1050,
1364.hk,01364,GUMING,Equity,400,KYG4212T1058,
1368.hk,01368,XTEP INT'L,Equity,500,KYG982771092,
1370.hk,01370,AOWEI HOLDING,Equity,"1,000",KYG0403E1052,
1371.hk,01371,CHINA ECOTOUR,Equity,"10,000",BMG216341294,
1372.hk,01372,C CARBONNEUTRAL,Equity,"1,000",KYG2124E1098,
1373.hk,01373,IH RETAIL,Equity,"1,000",KYG487291000,
1375.hk,01375,CC SECURITIES,Equity,"1,000",CNE100001SS7,
1376.hk,01376,RAFFLESINTERIOR,Equity,"8,000",KYG7354T1067,
1378.hk,01378,CHINAHONGQIAO,Equity,500,KYG211501005,
1379.hk,01379,WENLING MCT,Equity,500,CNE100003NJ3,
1380.hk,01380,CHI KINGSTONE,Equity,"10,000",BMG2119K2017,
1382.hk,01382,PACIFICTEXTILES,Equity,"1,000",KYG686121032,
1385.hk,01385,SHANGHAI FUDAN,Equity,"1,000",CNE100000510,
1388.hk,01388,EMBRY HOLDINGS,Equity,"1,000",KYG3066H1002,
1389.hk,01389,MAJOR HLDGS,Equity,"12,000",KYG5760H1386,
1393.hk,01393,HIDILI INDUSTRY,Equity,"1,000",KYG444031069,
1395.hk,01395,ELL ENV,Equity,"5,000",KYG3017A1058,
1396.hk,01396,GD-HKGBA HLDGS,Equity,"8,000",KYG4181B1196,
1397.hk,01397,BAGUIO GREEN,Equity,"4,000",KYG0697N1007,
1398.hk,01398,ICBC,Equity,"1,000",CNE1000003G1,
1399.hk,01399,VESON HLDG,Equity,"2,000",KYG9450D1007,
1400.hk,01400,MOODY TECH HLDG,Equity,"10,000",BMG622381454,
1401.hk,01401,FUTURE MACH LTD,Equity,"2,000",KYG8401A1085,
1402.hk,01402,I-CONTROL,Equity,"10,000",KYG4708D1016,
1405.hk,01405,DPC DASH,Equity,100,VGG2R04S1048,
1406.hk,01406,CLARITY MEDICAL,Equity,"1,250",KYG2181S1084,
1407.hk,01407,JY GAS,Equity,"2,000",KYG8311K1058,
1408.hk,01408,MACAU E&M,Equity,"2,000",KYG5830C1015,
1410.hk,01410,EDVANCE INTL,Equity,"10,000",KYG290121048,
1412.hk,01412,Q P GROUP,Equity,"2,000",KYG7308B1023,
1413.hk,01413,FEG HOLDINGS,Equity,"5,000",KYG5329A1031,
1415.hk,01415,COWELL,Equity,"1,000",KYG248141163,
1416.hk,01416,CTR HOLDINGS,Equity,"10,000",KYG2587H1020,
1417.hk,01417,RIVERINE CHINA,Equity,"2,000",KYG7587R1092,
1418.hk,01418,SINOMAX GROUP,Equity,"2,000",KYG8191A1022,
1419.hk,01419,HUMAN HEALTH,Equity,"2,000",KYG4644Q1091,
1420.hk,01420,CHUAN HOLDING,Equity,"4,000",KYG2123Y1061,
1421.hk,01421,PROSP GP INTL,Equity,"5,000",KYG5258Y1145,
1425.hk,01425,JUSTIN ALLEN H,Equity,"5,000",KYG5211W1069,
1427.hk,01427,CH TIANBAO GP,Equity,"1,000",KYG8442D1034,
1428.hk,01428,BRIGHT SMART,Equity,"2,000",KYG1644A1004,
1429.hk,01429,SKYMISSION GP,Equity,"8,000",KYG8T21A1078,
1431.hk,01431,YST DAIRY,Equity,"1,000",BMG987851018,
1432.hk,01432,CHINA SHENGMU,Equity,"1,000",KYG2117U1022,
1433.hk,01433,CIRTEK HLDGS,Equity,"10,000",KYG3000A1040,
1440.hk,01440,STAR SHINE HLDG,Equity,"2,500",KYG2751J1085,
1442.hk,01442,INFINITY L&T,Equity,"5,000",KYG4769S1049,
1443.hk,01443,FULUM GP HLDG,Equity,"2,000",KYG369231033,
1446.hk,01446,HUNGFOOKTONG,Equity,"2,000",KYG4648K1085,
1447.hk,01447,SFK,Equity,"2,000",BMG8059A1036,
1448.hk,01448,FU SHOU YUAN,Equity,"1,000",KYG371091086,
1449.hk,01449,LEADER EDU,Equity,"1,000",KYG5421B1086,
1450.hk,01450,BE FRIENDS HLDG,Equity,"2,000",KYG202281054,
1451.hk,01451,MS GROUP HLDGS,Equity,"2,000",KYG507601006,
1452.hk,01452,DENOX ENV,Equity,"1,000",KYG2810N1088,
1455.hk,01455,FOURACE IND GP,Equity,"5,000",KYG3656F1000,
1456.hk,01456,GLMS SEC,Equity,500,CNE100002003,
1458.hk,01458,ZHOU HEI YA,Equity,500,KYG989761062,
1459.hk,01459,JUJIANG CONS,Equity,"2,000",CNE100002417,
1460.hk,01460,ICO GROUP,Equity,"8,000",KYG4706W1502,
1461.hk,01461,ZHONGTAIFUTURES,Equity,"1,000",CNE100001ZZ7,
1463.hk,01463,C-LINK SQ,Equity,"2,000",KYG2R22M1139,
1466.hk,01466,BAIJIN LIFE SCI,Equity,"32,000",KYG0130B1014,
1468.hk,01468,KINGKEY FIN INT,Equity,"10,000",KYG5258T1159,
1470.hk,01470,PROSPER ONE,Equity,"4,000",KYG7280T1058,
1471.hk,01471,ZHONGMIAO,Equity,500,CNE100006L26,
1472.hk,01472,SANG HING HLDGS,Equity,"5,000",KYG7806A1013,
1473.hk,01473,PANGAEA CONNECT,Equity,"4,000",KYG6892G1055,
1475.hk,01475,NISSIN FOODS,Equity,"1,000",HK0000376142,
1476.hk,01476,HENGTOU SEC,Equity,"1,000",CNE100002334,
1477.hk,01477,OCUMENSION-B,Equity,500,KYG674111011,
1478.hk,01478,Q TECH,Equity,"1,000",KYG7306T1058,
1480.hk,01480,YAN TAT GROUP,Equity,"2,000",KYG9833Q1091,
1481.hk,01481,SMART GLOBE,Equity,"10,000",KYG8233R1056,
1483.hk,01483,NET-A-GO TECH,Equity,"2,000",KYG6426H1083,
1486.hk,01486,C CHENG HLDGS,Equity,"10,000",KYG1987U1013,
1488.hk,01488,BEST FOOD HLDG,Equity,"2,000",KYG1135C1024,
1489.hk,01489,GC CONSTRUCTION,Equity,"5,000",KYG3774A1085,
1490.hk,01490,AI X TECH,Equity,"4,000",KYG2R50A1062,
1495.hk,01495,JIYI HOLDINGS,Equity,"20,000",KYG5139R1149,
1496.hk,01496,AP RENTALS,Equity,"4,000",KYG0501C1006,
1497.hk,01497,YAN PALACE,Equity,400,CNE1000069X7,
1498.hk,01498,PURAPHARM,Equity,500,KYG7306Y1044,
1499.hk,01499,OKG TECH,Equity,"10,000",KYG6730W1069,
1500.hk,01500,INCON,Equity,"5,000",KYG4752Q1073,
1501.hk,01501,INT MEDICAL,Equity,200,CNE100003NH7,
1502.hk,01502,FIN STREET PPT,Equity,"1,000",CNE100003Y81,
1508.hk,01508,CHINA RE,Equity,"1,000",CNE100002342,
1513.hk,01513,LIVZON PHARMA,Equity,100,CNE100001QV5,
1515.hk,01515,CR MEDICAL,Equity,500,KYG2133W1087,
1516.hk,01516,SUNAC SERVICES,Equity,"1,000",KYG8569B1041,
1518.hk,01518,NC HEALTHCARE,Equity,500,KYG6446R1020,
1519.hk,01519,J&T EXPRESS-W,Equity,200,KYG4990A1040,
1520.hk,01520,VIRTUAL MIND,Equity,"6,000",KYG1993C1116,
1521.hk,01521,FRONTAGE,Equity,"2,000",KYG3679P1019,
1522.hk,01522,BII TRANS TECH,Equity,"4,000",KYG1267V1005,
1523.hk,01523,PLOVER BAY TECH,Equity,"1,000",KYG713321035,
1525.hk,01525,GENCH EDU,Equity,500,KYG8064A1067,
1526.hk,01526,RICI HEALTH,Equity,"1,000",KYG755601054,
1527.hk,01527,TENGY ENV,Equity,200,CNE1000021Y6,
1528.hk,01528,RS MACALLINE,Equity,200,CNE100001ZS2,
1529.hk,01529,YUES INTL HLDG,Equity,"2,000",KYG394781135,
1530.hk,01530,3SBIO,Equity,500,KYG8875G1029,
1532.hk,01532,CHINA PARTYTIME,Equity,"3,000",KYG2163R1020,
1536.hk,01536,YUK WING GP,Equity,"2,000",KYG9881J1067,
1538.hk,01538,ZHONG AO HOME,Equity,"2,000",KYG9897C1033,
1539.hk,01539,UNITY GP HLDGS,Equity,"2,000",KYG93AAK1030,
1540.hk,01540,LEFTFIELD PRINT,Equity,"3,000",BMG552191022,
1541.hk,01541,IMMUNEONCO-B,Equity,200,CNE100006624,
1542.hk,01542,TAIZHOU WATER,Equity,"1,000",CNE100003PH2,
1543.hk,01543,JOIN-SHARE,Equity,"2,000",CNE1000023L9,
1545.hk,01545,DESIGN CAPITAL,Equity,"10,000",KYG2819M1015,
1546.hk,01546,THELLOY DEV,Equity,"8,000",KYG879891029,
1547.hk,01547,IBI GROUP HLDGS,Equity,"8,000",KYG469041019,
1548.hk,01548,GENSCRIPT BIO,Equity,"2,000",KYG3825B1059,
1549.hk,01549,EVER HARVEST GP,Equity,"8,000",KYG3227D1051,
1551.hk,01551,GRCB,Equity,"1,000",CNE100002FR4,
1552.hk,01552,BHCC HOLDING,Equity,"5,000",KYG1R59S1007,
1553.hk,01553,MAIKE TUBE,Equity,"2,000",KYG5S6AA1055,
1555.hk,01555,MIE HOLDINGS,Equity,"2,000",KYG611571061,
1556.hk,01556,CHINNEY KW,Equity,"5,000",BMG2118K1036,
1557.hk,01557,K.H. GP HLDGS,Equity,"4,000",KYG5225A1168,
1559.hk,01559,KWAN ON HLDGS,Equity,"10,000",KYG5322M1042,
1560.hk,01560,STAR GROUP ASIA,Equity,"2,000",KYG8508A1004,
1561.hk,01561,PAN ASIA DATA H,Equity,"4,000",KYG6883H1048,
1563.hk,01563,ALLI INTL ED LE,Equity,"1,000",KYG4815A1076,
1565.hk,01565,VIRSCEND EDU,Equity,"1,000",KYG936691024,
1566.hk,01566,CA CULTURAL,Equity,"1,000",KYG211751071,
1568.hk,01568,SUNDART HLDGS,Equity,"2,000",VGG857251026,
1569.hk,01569,MINSHENG EDU,Equity,"2,000",KYG6145R1065,
1570.hk,01570,WEIYE HOLDINGS,Equity,"1,000",SG1CD6000000,
1571.hk,01571,XIN POINT HOLD,Equity,"1,000",KYG9830R1002,
1572.hk,01572,CHINA ART FIN,Equity,"4,000",KYG2120M1050,
1575.hk,01575,REGAL PARTNERS,Equity,"2,000",KYG627281036,
1576.hk,01576,QILU EXPRESSWAY,Equity,"1,000",CNE1000031X7,
1577.hk,01577,HUIXIN CREDIT,Equity,"2,000",CNE1000029X1,
1578.hk,01578,BANK OF TIANJIN,Equity,500,CNE100002623,
1579.hk,01579,YIHAI INTL,Equity,"1,000",KYG984191075,
1580.hk,01580,DA SEN HLDGS,Equity,"30,000",KYG2659Y1162,
1581.hk,01581,PROGRESSIVE P,Equity,"10,000",KYG725391109,
1582.hk,01582,CR CONSTRUCTION,Equity,"2,500",KYG251541085,
1583.hk,01583,QINQIN FOODS,Equity,"1,000",KYG730611061,
1585.hk,01585,YADEA,Equity,"2,000",KYG9830F1063,
1586.hk,01586,LEON INSPECTION,Equity,"4,000",KYG2163G1064,
1587.hk,01587,SHINEROAD INTL,Equity,"4,000",KYG810161003,
1588.hk,01588,CHANJET,Equity,200,CNE100001SQ1,
1591.hk,01591,SHUN WO GROUP,Equity,"20,000",KYG811921173,
1592.hk,01592,ANCHORSTONE,Equity,"5,000",KYG036431065,
1593.hk,01593,CHEN LIN EDU,Equity,"2,000",KYG2087A1022,
1596.hk,01596,YICHEN IND,Equity,"1,000",CNE100002B30,
1597.hk,01597,NATURE ENERGY T,Equity,"1,000",KYG2121Y1089,
1598.hk,01598,21CENTURY EDU,Equity,"3,000",KYG212141041,
1599.hk,01599,UCD,Equity,"1,000",CNE100001SV1,
1600.hk,01600,TIAN LUN GAS,Equity,500,KYG843961031,
1601.hk,01601,ZGC TEC LEASING,Equity,"2,000",CNE100003Q08,
1606.hk,01606,CDB LEASING,Equity,"2,000",CNE1000027C9,
1608.hk,01608,VPOWER GROUP,Equity,"1,000",KYG939541085,
1610.hk,01610,COFCO JOYCOME,Equity,"1,000",KYG226921008,
1611.hk,01611,SINOHOPE TECH,Equity,500,VGG4671J1012,
1612.hk,01612,VINCENT MED,Equity,"2,000",KYG9367D1025,
1613.hk,01613,SYNERTONE,Equity,"6,400",KYG8650N1732,
1615.hk,01615,AB BUILDERS,Equity,"5,000",KYG0031B1014,
1616.hk,01616,A METAVERSE,Equity,"2,000",KYG8558L1059,
1617.hk,01617,NANFANG COMM,Equity,"4,000",KYG6390W1078,
1618.hk,01618,MCC,Equity,"1,000",CNE100000FF3,
1620.hk,01620,CINESE INTL,Equity,"10,000",            ,
1621.hk,01621,VICO INTL HLDGS,Equity,"8,000",KYG9365R1039,
1622.hk,01622,REDCO GROUP,Equity,"2,000",KYG733101318,
1623.hk,01623,HILONG,Equity,"1,000",KYG4509G1055,
1626.hk,01626,JIA YAO HLDGS,Equity,"1,000",KYG5137W1078,
1627.hk,01627,ABLE ENG HLDGS,Equity,"4,000",KYG0R8151046,
1628.hk,01628,YUZHOU GROUP,Equity,"5,000",KYG9884T1013,
1629.hk,01629,CHAMP ALLI INTL,Equity,"4,000",KYG2121P1072,
1630.hk,01630,KIN SHING HLDGS,Equity,"6,000",KYG5281A1094,
1631.hk,01631,REF HOLDINGS,Equity,"5,000",KYG7469C1050,
1632.hk,01632,MSCTECH,Equity,"2,000",KYG6145K1013,
1633.hk,01633,SHEUNG YUE GP,Equity,"3,000",KYG8100F1019,
1635.hk,01635,DZUG,Equity,"1,000",CNE100002B48,
1636.hk,01636,CMRU,Equity,"8,000",KYG316221145,
1637.hk,01637,SH GROUP HLDG,Equity,"2,000",KYG809871034,
1638.hk,01638,KAISA GROUP,Equity,"1,000",KYG521321003,
1640.hk,01640,QIAN XUN TECH,Equity,"2,000",KYG7714M1069,
1643.hk,01643,MODERN CHI MED,Equity,"3,000",KYG6181B1068,
1645.hk,01645,HAINA INTEL,Equity,"4,000",KYG4228M1024,
1647.hk,01647,GRANDSHORES,Equity,"5,000",KYG406581093,
1650.hk,01650,HYGIEIA GROUP,Equity,"8,000",KYG4677R1074,
1651.hk,01651,TSUGAMI CHINA,Equity,"1,000",KYG7215M1006,
1652.hk,01652,FUSEN PHARM,Equity,"1,000",KYG370981030,
1653.hk,01653,MOS HOUSE,Equity,"20,000",KYG6331G1120,
1655.hk,01655,OKURA HOLDINGS,Equity,"5,000",HK0000337995,
1656.hk,01656,ISDN HOLDINGS,Equity,"2,000",SG1S48927937,
1657.hk,01657,SG GROUP HLDGS,Equity,500,KYG8061B1077,
1658.hk,01658,PSBC,Equity,"1,000",CNE1000029W3,
1660.hk,01660,ZHAOBANGJI LIFE,Equity,"8,000",KYG9898R1175,
1661.hk,01661,CH FRONTIER TEC,Equity,"6,000",KYG9722N1189,
1662.hk,01662,YEE HOP HLDGS,Equity,"1,000",KYG9836P1081,
1663.hk,01663,S HARBOURHOLD,Equity,"2,000",BMG8188W1091,
1666.hk,01666,TONG REN TANG,Equity,"1,000",CNE100000585,
1667.hk,01667,DIMMI LIFE HLDG,Equity,"10,000",KYG6224K1058,
1668.hk,01668,CHINASOUTHCITY,Equity,"2,000",HK0000056264,
1669.hk,01669,GIC GROUP,Equity,"2,000",KYG3932P1046,
1671.hk,01671,TIANBAO ENERGY,Equity,"2,000",CNE100002ZK7,
1672.hk,01672,ASCLETIS-B,Equity,"1,000",KYG0520K1094,
1673.hk,01673,HUAZHANG TECH,Equity,"2,000",KYG464201162,
1675.hk,01675,ASIAINFO TECH,Equity,400,VGG0542G1028,
1676.hk,01676,GAODI HOLDINGS,Equity,"4,000",KYG2117S1075,
1679.hk,01679,RISECOMM GP-NEW,Equity,"5,000",KYG7573R1478,
1680.hk,01680,MACAU LEGEND,Equity,"4,000",KYG573611186,
1681.hk,01681,CONSUN PHARMA,Equity,"1,000",KYG2524A1031,
1682.hk,01682,HP LIVING TECH,Equity,"4,000",BMG428891086,
1683.hk,01683,HOPE LIFE INT,Equity,"16,000",KYG4600C1107,
1685.hk,01685,BOER POWER,Equity,"1,000",KYG121611084,
1686.hk,01686,SUNEVISION,Equity,"1,000",KYG857001054,
1689.hk,01689,HUAXIHOLDINGS,Equity,"2,000",KYG4643G1029,
1690.hk,01690,LAP KEI ENGRG,Equity,"10,000",KYG5379C1087,
1691.hk,01691,JS GLOBAL LIFE,Equity,500,KYG2S85A1045,
1692.hk,01692,TOWNRAY HLDGS,Equity,"2,000",KYG8973U1022,
1693.hk,01693,BGMC,Equity,"2,000",KYG1R51A1153,
1695.hk,01695,S&P INTL HLDG,Equity,"5,000",KYG773601086,
1696.hk,01696,SISRAM MED,Equity,400,IL0011418113,
1697.hk,01697,SDITC,Equity,"1,800",CNE100002R24,
1698.hk,01698,TME-SW,Equity,100,KYG875771134,
1701.hk,01701,TU YI HLDG,Equity,"4,000",KYG9138B1041,
1702.hk,01702,DONGGUANG CHEM,Equity,"4,000",KYG2815R1048,
1703.hk,01703,WELIFE TECH,Equity,"5,000",KYG6875A1094,
1705.hk,01705,B & S INTL HLDG,Equity,"4,000",KYG1535R1056,
1707.hk,01707,GEOTECH HLDGS,Equity,"8,000",KYG3835R1083,
1708.hk,01708,SAMPLE TECH,Equity,500,CNE100000148,
1709.hk,01709,DL HOLDINGS GP,Equity,"1,000",KYG3166D1088,
1710.hk,01710,TRIO IND ELEC,Equity,"4,000",HK0000372331,
1711.hk,01711,ULFERTS,Equity,"10,000",HK0000387867,
1712.hk,01712,DRAGON MINING,Equity,"1,000",AU0000321754,
1713.hk,01713,SICHUAN EN INV,Equity,"2,000",CNE100003FC4,
1715.hk,01715,AI HEALTH TECH,Equity,"10,000",KYG6118R1175,
1716.hk,01716,MOST KWAI CHUNG,Equity,"2,000",KYG629061055,
1717.hk,01717,AUSNUTRIA,Equity,"1,000",KYG063181021,
1718.hk,01718,WAN KEI GROUP,Equity,"5,000",KYG943081144,
1719.hk,01719,CIL GROUP,Equity,"4,000",KYG2163V1032,
1720.hk,01720,PUTIAN COMM,Equity,"4,000",KYG730051037,
1721.hk,01721,FSM HOLDINGS,Equity,"5,000",KYG368431030,
1722.hk,01722,KIN PANG HLDGS,Equity,"10,000",KYG527871019,
1723.hk,01723,MOON INC,Equity,"2,000",KYG451571072,
1725.hk,01725,USPACE TECH,Equity,200,KYG4585K1031,
1726.hk,01726,HKE HOLDINGS,Equity,"5,000",KYG451601010,
1727.hk,01727,HEBEI CONS,Equity,500,CNE100002R32,
1728.hk,01728,ZHENGTONGAUTO,Equity,500,KYG215A81084,
1729.hk,01729,TIME INTERCON,Equity,"1,000",KYG8879R1048,
1730.hk,01730,LHN,Equity,"2,000",SG1AH9000002,
1731.hk,01731,PROSPEROUS IND,Equity,"4,000",KYG7283E1052,
